_time,_start,_stop,_measurement,application_name,dev_eui,device_name,dr,frequency,f_cnt,rssi,snr
2025-02-12 15:08:32.249156+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,540,-122,-4.8
2025-02-12 15:08:37.255457+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,541,-126,-9.1
2025-02-12 15:08:47.247196+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,543,-118,-1.4
2025-02-12 15:08:52.245741+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,544,-121,-4.3
2025-02-12 15:08:57.247638+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,545,-120,-2.8
2025-02-12 15:09:02.246316+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,546,-118,-0.7
2025-02-12 15:09:07.247708+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,547,-115,2.1
2025-02-12 15:09:17.249689+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,549,-113,4.1
2025-02-12 15:09:22.247303+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,550,-122,-4.6
2025-02-12 15:09:27.244226+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,551,-119,-2.4
2025-02-12 15:09:32.252036+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,552,-119,-2.0
2025-02-12 15:09:42.246476+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,554,-121,-4.0
2025-02-12 15:09:47.248196+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,555,-117,0.0
2025-02-12 15:09:52.249146+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,556,-120,-2.6
2025-02-12 15:09:57.256429+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,557,-124,-7.1
2025-02-12 15:10:12.250215+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,560,-121,-4.0
2025-02-12 15:10:17.246028+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,561,-122,-5.2
2025-02-12 15:10:27.246785+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,563,-119,-2.2
2025-02-12 15:10:37.250961+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,565,-126,-9.0
2025-02-12 15:10:42.249772+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,566,-119,-2.4
2025-02-12 15:10:47.245776+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,567,-126,-9.3
2025-02-12 15:10:52.241940+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,568,-120,-2.9
2025-02-12 15:10:57.249147+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,569,-116,0.6
